gene_id	HF1_2_Cbr	HF1_2_Cni
CBRIG.I.g1002.t1__CNIGO.Cnig_chr_I.g494.t1	438	1427
CBRIG.I.g1021.t1__CNIGO.Cnig_chr_I.g522.t1	525	211
CBRIG.I.g1042.t3__CNIGO.Cnig_chr_I.g545.t2	550	314
CBRIG.I.g1066.t1__CNIGO.Cnig_chr_I.g568.t1	165	195
CBRIG.I.g1120.t1__CNIGO.Cnig_chr_I.g25.t1	193	321
CBRIG.I.g1149.t1__CNIGO.Cnig_chr_I.g635.t1	606	178
CBRIG.I.g1155.t1__CNIGO.Cnig_chr_I.g645.t1	1427	78
CBRIG.I.g1176.t1__CNIGO.Cnig_chr_I.g674.t1	41	345
CBRIG.I.g1199.t1__CNIGO.Cnig_chr_I.g704.t1	671	264
CBRIG.I.g1237.t1__CNIGO.Cnig_chr_I.g783.t1	639	316
CBRIG.I.g1245.t1__CNIGO.Cnig_chr_I.g800.t1	177	106
CBRIG.I.g1269.t1__CNIGO.Cnig_chr_I.g836.t1	256	176
CBRIG.I.g1288.t1__CNIGO.Cnig_chr_I.g858.t1	283	920
CBRIG.I.g1306.t1__CNIGO.Cnig_chr_I.g872.t1	82	54
CBRIG.I.g1329.t1__CNIGO.Cnig_chr_I.g901.t2	263	160
CBRIG.I.g1336.t1__CNIGO.Cnig_chr_I.g908.t1	1116	378
CBRIG.I.g1357.t4__CNIGO.Cnig_chr_I.g953.t1	374	785
CBRIG.I.g1377.t3__CNIGO.Cnig_chr_I.g976.t2	1333	309
CBRIG.I.g1409.t2__CNIGO.Cnig_chr_I.g1006.t1	977	282
CBRIG.I.g1413.t1__CNIGO.Cnig_chr_I.g1010.t1	343	213
CBRIG.I.g1426.t2__CNIGO.Cnig_chr_I.g1025.t2	575	273
CBRIG.I.g1437.t2__CNIGO.Cnig_chr_I.g1037.t1	205	1446
CBRIG.I.g1441.t3__CNIGO.Cnig_chr_I.g1041.t3	509	2662
CBRIG.I.g1502.t1__CNIGO.Cnig_chr_I.g1114.t1	472	177
CBRIG.I.g1515.t2__CNIGO.Cnig_chr_I.g1127.t2	524	1620
CBRIG.I.g1538.t2__CNIGO.Cnig_chr_I.g1149.t1	61	182
CBRIG.I.g1543.t1__CNIGO.Cnig_chr_I.g1155.t1	39	75
CBRIG.I.g1582.t1__CNIGO.Cnig_chr_I.g1192.t1	237	87
CBRIG.I.g1585.t1__CNIGO.Cnig_chr_I.g1194.t1	678	418
CBRIG.I.g1588.t3__CNIGO.Cnig_chr_I.g1197.t1	603	437
CBRIG.I.g1627.t1__CNIGO.Cnig_chr_I.g1233.t1	278	257
CBRIG.I.g1631.t1__CNIGO.Cnig_chr_I.g1237.t2	601	2012
CBRIG.I.g1656.t1__CNIGO.Cnig_chr_I.g1262.t1	1057	256
CBRIG.I.g1681.t2__CNIGO.Cnig_chr_I.g1290.t1	1537	823
CBRIG.I.g1726.t1__CNIGO.Cnig_chr_I.g1339.t1	262	116
CBRIG.I.g1749.t1__CNIGO.Cnig_chr_I.g1361.t1	621	245
CBRIG.I.g1751.t1__CNIGO.Cnig_chr_I.g1365.t1	683	358
CBRIG.I.g1758.t1__CNIGO.Cnig_chr_I.g1372.t1	92	52
CBRIG.I.g1794.t1__CNIGO.Cnig_chr_I.g1410.t1	388	511
CBRIG.I.g1820.t1__CNIGO.Cnig_chr_I.g1433.t1	94	57
CBRIG.I.g1835.t1__CNIGO.Cnig_chr_I.g1453.t1	139	174
CBRIG.I.g1846.t1__CNIGO.Cnig_chr_I.g1468.t1	558	305
CBRIG.I.g1847.t1__CNIGO.Cnig_chr_I.g1469.t1	267	196
CBRIG.I.g1871.t1__CNIGO.Cnig_chr_I.g1486.t2	175	207
CBRIG.I.g1944.t2__CNIGO.Cnig_chr_I.g1546.t1	514	137
CBRIG.I.g1966.t1__CNIGO.Cnig_chr_I.g1570.t3	124	101
CBRIG.I.g1967.t1__CNIGO.Cnig_chr_I.g1571.t1	1197	334
CBRIG.I.g1994.t1__CNIGO.Cnig_chr_I.g1673.t1	973	314
CBRIG.I.g2029.t1__CNIGO.Cnig_chr_I.g1635.t1	37	55
CBRIG.I.g2051.t1__CNIGO.Cnig_chr_I.g1615.t2	320	236
CBRIG.I.g2085.t3__CNIGO.Cnig_chr_I.g1709.t1	492	267
CBRIG.I.g2123.t1__CNIGO.Cnig_chr_I.g1766.t2	1246	391
CBRIG.I.g2149.t1__CNIGO.Cnig_chr_I.g1742.t1	304	532
CBRIG.I.g2162.t1__CNIGO.Cnig_chr_I.g1789.t1	93	102
CBRIG.I.g2171.t1__CNIGO.Cnig_chr_I.g1796.t1	157	330
CBRIG.I.g2193.t3__CNIGO.Cnig_chr_I.g1821.t1	361	520
CBRIG.I.g2199.t2__CNIGO.Cnig_chr_I.g1827.t1	101	72
CBRIG.I.g2203.t1__CNIGO.Cnig_chr_I.g1831.t1	322	121
CBRIG.I.g2294.t2__CNIGO.Cnig_chr_I.g1920.t1	269	582
CBRIG.I.g2299.t1__CNIGO.Cnig_chr_I.g1925.t1	64	102
CBRIG.I.g2398.t1__CNIGO.Cnig_chr_I.g2084.t1	243	230
CBRIG.I.g2416.t2__CNIGO.Cnig_chr_I.g2070.t2	560	238
CBRIG.I.g2417.t2__CNIGO.Cnig_chr_I.g2069.t2	252	344
CBRIG.I.g2423.t1__CNIGO.Cnig_chr_I.g2063.t2	365	166
CBRIG.I.g2513.t1__CNIGO.Cnig_chr_I.g1992.t1	265	877
CBRIG.I.g2517.t1__CNIGO.Cnig_chr_I.g1988.t1	101	281
CBRIG.I.g2526.t1__CNIGO.Cnig_chr_I.g2100.t1	114	106
CBRIG.I.g2529.t1__CNIGO.Cnig_chr_I.g2102.t1	153	311
CBRIG.I.g2547.t2__CNIGO.Cnig_chr_I.g2120.t2	479	241
CBRIG.I.g2549.t2__CNIGO.Cnig_chr_I.g2123.t2	267	215
CBRIG.I.g2552.t2__CNIGO.Cnig_chr_I.g2128.t1	638	1967
CBRIG.I.g2560.t1__CNIGO.Cnig_chr_I.g2135.t1	71	348
CBRIG.I.g2619.t1__CNIGO.Cnig_chr_I.g2205.t1	509	1065
CBRIG.I.g2640.t1__CNIGO.Cnig_chr_I.g2225.t2	275	1001
CBRIG.I.g2651.t1__CNIGO.Cnig_chr_I.g2235.t1	185	533
CBRIG.I.g2655.t1__CNIGO.Cnig_chr_I.g2248.t1	661	179
CBRIG.I.g2683.t1__CNIGO.Cnig_chr_I.g2275.t1	130	236
CBRIG.I.g2697.t1__CNIGO.Cnig_chr_I.g2287.t1	193	386
CBRIG.I.g2725.t1__CNIGO.Cnig_chr_I.g2319.t1	65	93
CBRIG.I.g2735.t1__CNIGO.Cnig_chr_I.g2327.t1	1202	185
CBRIG.I.g2758.t1__CNIGO.Cnig_chr_I.g2361.t1	230	428
CBRIG.I.g2782.t1__CNIGO.Cnig_chr_I.g2394.t2	176	304
CBRIG.I.g2795.t3__CNIGO.Cnig_chr_I.g2411.t2	226	812
CBRIG.I.g2830.t1__CNIGO.Cnig_chr_I.g2443.t1	380	347
CBRIG.I.g2847.t1__CNIGO.Cnig_chr_I.g2464.t1	295	326
CBRIG.I.g2850.t1__CNIGO.Cnig_chr_I.g2467.t1	226	535
CBRIG.I.g2874.t1__CNIGO.Cnig_chr_I.g2498.t1	59	190
CBRIG.I.g2910.t1__CNIGO.Cnig_chr_I.g2525.t2	35	106
CBRIG.I.g2924.t1__CNIGO.Cnig_chr_I.g2539.t1	938	4389
CBRIG.I.g2950.t1__CNIGO.Cnig_chr_I.g2578.t1	1002	167
CBRIG.I.g2968.t1__CNIGO.Cnig_chr_I.g2595.t1	67	176
CBRIG.I.g2975.t1__CNIGO.Cnig_chr_I.g2601.t1	1730	290
CBRIG.I.g3000.t1__CNIGO.Cnig_chr_I.g2632.t1	404	410
CBRIG.I.g3003.t1__CNIGO.Cnig_chr_I.g2635.t3	486	222
CBRIG.I.g3031.t1__CNIGO.Cnig_chr_I.g2664.t1	152	591
CBRIG.I.g3119.t1__CNIGO.Cnig_chr_I.g2776.t1	926	423
CBRIG.I.g3152.t1__CNIGO.Cnig_chr_I.g2813.t1	418	106
CBRIG.I.g3171.t1__CNIGO.Cnig_chr_I.g2897.t1	53	145
CBRIG.I.g3204.t1__CNIGO.Cnig_chr_I.g2954.t1	241	105
CBRIG.I.g3213.t1__CNIGO.Cnig_chr_I.g2964.t1	273	186
CBRIG.I.g3222.t1__CNIGO.Cnig_chr_I.g2975.t1	246	53
CBRIG.I.g3263.t2__CNIGO.Cnig_chr_I.g3034.t1	552	2483
CBRIG.I.g3279.t1__CNIGO.Cnig_chr_I.g3060.t2	595	101
CBRIG.I.g3280.t1__CNIGO.Cnig_chr_I.g3061.t2	1212	626
CBRIG.I.g3459.t1__CNIGO.Cnig_chr_I.g3225.t1	63	62
CBRIG.I.g3476.t1__CNIGO.Cnig_chr_I.g3202.t1	66	357
CBRIG.I.g3527.t2__CNIGO.Cnig_chr_I.g3435.t1	1347	429
CBRIG.I.g3532.t2__CNIGO.Cnig_chr_I.g3442.t1	636	194
CBRIG.I.g3581.t2__CNIGO.Cnig_chr_I.g3511.t1	69	99
CBRIG.I.g3612.t5__CNIGO.Cnig_chr_I.g3562.t3	1531	700
CBRIG.I.g3663.t1__CNIGO.Cnig_chr_I.g3607.t1	98	164
CBRIG.I.g3685.t1__CNIGO.Cnig_chr_I.g3646.t1	98	172
CBRIG.I.g3715.t2__CNIGO.Cnig_chr_I.g3733.t3	415	546
CBRIG.I.g3773.t1__CNIGO.Cnig_chr_I.g3793.t2	316	510
CBRIG.I.g3779.t1__CNIGO.Cnig_chr_I.g3798.t1	103	204
CBRIG.I.g3892.t1__CNIGO.Cnig_chr_I.g3948.t1	92	231
CBRIG.I.g3901.t1__CNIGO.Cnig_chr_I.g3940.t1	333	153
CBRIG.I.g3903.t1__CNIGO.Cnig_chr_I.g3938.t1	725	272
CBRIG.I.g3915.t1__CNIGO.Cnig_chr_I.g3926.t1	609	1643
CBRIG.I.g3919.t1__CNIGO.Cnig_chr_I.g3921.t1	156	805
CBRIG.I.g3920.t1__CNIGO.Cnig_chr_I.g3920.t1	209	139
CBRIG.I.g730.t1__CNIGO.Cnig_chr_I.g100.t1	161	128
CBRIG.I.g779.t1__CNIGO.Cnig_chr_I.g222.t1	223	460
CBRIG.I.g801.t1__CNIGO.Cnig_chr_I.g250.t1	854	307
CBRIG.I.g821.t1__CNIGO.Cnig_chr_I.g294.t2	646	1991
CBRIG.I.g829.t1__CNIGO.Cnig_chr_I.g302.t2	186	660
CBRIG.I.g833.t2__CNIGO.Cnig_chr_I.g300.t2	551	270
CBRIG.I.g841.t2__CNIGO.Cnig_chr_I.g309.t1	30	28
CBRIG.I.g885.t1__CNIGO.Cnig_chr_I.g370.t1	595	106
CBRIG.I.g886.t1__CNIGO.Cnig_chr_I.g371.t1	624	245
CBRIG.I.g894.t1__CNIGO.Cnig_chr_I.g379.t2	112	261
CBRIG.I.g898.t1__CNIGO.Cnig_chr_I.g383.t1	524	115
CBRIG.I.g919.t3__CNIGO.Cnig_chr_I.g408.t1	255	251
CBRIG.I.g942.t1__CNIGO.Cnig_chr_I.g430.t1	426	1557
CBRIG.I.g943.t1__CNIGO.Cnig_chr_I.g429.t1	67	130
CBRIG.I.g944.t1__CNIGO.Cnig_chr_I.g428.t2	545	623
CBRIG.I.g975.t1__CNIGO.Cnig_chr_I.g463.t2	1032	519
CBRIG.II.g3927.t1__CNIGO.Cnig_chr_II.g3973.t1	1132	203
CBRIG.II.g3934.t1__CNIGO.Cnig_chr_II.g3981.t1	901	223
CBRIG.II.g3961.t1__CNIGO.Cnig_chr_II.g4012.t1	352	531
CBRIG.II.g3980.t1__CNIGO.Cnig_chr_II.g4031.t1	69	434
CBRIG.II.g3989.t1__CNIGO.Cnig_chr_II.g4041.t1	455	263
CBRIG.II.g4041.t1__CNIGO.Cnig_chr_II.g4120.t1	237	436
CBRIG.II.g4104.t1__CNIGO.Cnig_chr_II.g4192.t2	568	276
CBRIG.II.g4126.t1__CNIGO.Cnig_chr_II.g4222.t2	1792	282
