gene_id	HF1_3_Cbr	HF1_3_Cni
CBRIG.I.g1002.t1__CNIGO.Cnig_chr_I.g494.t1	543	1379
CBRIG.I.g1021.t1__CNIGO.Cnig_chr_I.g522.t1	506	247
CBRIG.I.g1042.t3__CNIGO.Cnig_chr_I.g545.t2	499	315
CBRIG.I.g1066.t1__CNIGO.Cnig_chr_I.g568.t1	150	133
CBRIG.I.g1120.t1__CNIGO.Cnig_chr_I.g25.t1	109	433
CBRIG.I.g1149.t1__CNIGO.Cnig_chr_I.g635.t1	636	176
CBRIG.I.g1155.t1__CNIGO.Cnig_chr_I.g645.t1	658	85
CBRIG.I.g1176.t1__CNIGO.Cnig_chr_I.g674.t1	63	350
CBRIG.I.g1199.t1__CNIGO.Cnig_chr_I.g704.t1	796	227
CBRIG.I.g1237.t1__CNIGO.Cnig_chr_I.g783.t1	340	329
CBRIG.I.g1245.t1__CNIGO.Cnig_chr_I.g800.t1	195	95
CBRIG.I.g1269.t1__CNIGO.Cnig_chr_I.g836.t1	284	264
CBRIG.I.g1288.t1__CNIGO.Cnig_chr_I.g858.t1	212	969
CBRIG.I.g1306.t1__CNIGO.Cnig_chr_I.g872.t1	126	73
CBRIG.I.g1329.t1__CNIGO.Cnig_chr_I.g901.t2	221	121
CBRIG.I.g1336.t1__CNIGO.Cnig_chr_I.g908.t1	1090	330
CBRIG.I.g1357.t4__CNIGO.Cnig_chr_I.g953.t1	363	682
CBRIG.I.g1377.t3__CNIGO.Cnig_chr_I.g976.t2	1350	332
CBRIG.I.g1409.t2__CNIGO.Cnig_chr_I.g1006.t1	1064	311
CBRIG.I.g1413.t1__CNIGO.Cnig_chr_I.g1010.t1	255	227
CBRIG.I.g1426.t2__CNIGO.Cnig_chr_I.g1025.t2	569	319
CBRIG.I.g1437.t2__CNIGO.Cnig_chr_I.g1037.t1	171	1559
CBRIG.I.g1441.t3__CNIGO.Cnig_chr_I.g1041.t3	467	2880
CBRIG.I.g1502.t1__CNIGO.Cnig_chr_I.g1114.t1	475	65
CBRIG.I.g1515.t2__CNIGO.Cnig_chr_I.g1127.t2	577	1820
CBRIG.I.g1538.t2__CNIGO.Cnig_chr_I.g1149.t1	129	180
CBRIG.I.g1543.t1__CNIGO.Cnig_chr_I.g1155.t1	48	33
CBRIG.I.g1582.t1__CNIGO.Cnig_chr_I.g1192.t1	271	158
CBRIG.I.g1585.t1__CNIGO.Cnig_chr_I.g1194.t1	615	264
CBRIG.I.g1588.t3__CNIGO.Cnig_chr_I.g1197.t1	496	579
CBRIG.I.g1627.t1__CNIGO.Cnig_chr_I.g1233.t1	263	293
CBRIG.I.g1631.t1__CNIGO.Cnig_chr_I.g1237.t2	654	1918
CBRIG.I.g1656.t1__CNIGO.Cnig_chr_I.g1262.t1	930	299
CBRIG.I.g1681.t2__CNIGO.Cnig_chr_I.g1290.t1	1437	783
CBRIG.I.g1726.t1__CNIGO.Cnig_chr_I.g1339.t1	217	118
CBRIG.I.g1749.t1__CNIGO.Cnig_chr_I.g1361.t1	608	196
CBRIG.I.g1751.t1__CNIGO.Cnig_chr_I.g1365.t1	730	307
CBRIG.I.g1758.t1__CNIGO.Cnig_chr_I.g1372.t1	54	110
CBRIG.I.g1794.t1__CNIGO.Cnig_chr_I.g1410.t1	477	497
CBRIG.I.g1820.t1__CNIGO.Cnig_chr_I.g1433.t1	138	89
CBRIG.I.g1835.t1__CNIGO.Cnig_chr_I.g1453.t1	150	220
CBRIG.I.g1846.t1__CNIGO.Cnig_chr_I.g1468.t1	579	268
CBRIG.I.g1847.t1__CNIGO.Cnig_chr_I.g1469.t1	211	166
CBRIG.I.g1871.t1__CNIGO.Cnig_chr_I.g1486.t2	145	256
CBRIG.I.g1944.t2__CNIGO.Cnig_chr_I.g1546.t1	533	168
CBRIG.I.g1966.t1__CNIGO.Cnig_chr_I.g1570.t3	122	94
CBRIG.I.g1967.t1__CNIGO.Cnig_chr_I.g1571.t1	1116	401
CBRIG.I.g1994.t1__CNIGO.Cnig_chr_I.g1673.t1	1044	406
CBRIG.I.g2029.t1__CNIGO.Cnig_chr_I.g1635.t1	105	84
CBRIG.I.g2051.t1__CNIGO.Cnig_chr_I.g1615.t2	331	286
