,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HF1F
I.g1000.t2__Cnig_chr_I.g492.t1,35685.4993146105,1.57677700724942,0.115518026986667,13.6496185779854,2.02937965548297e-42,1.02728857876251e-41,1
I.g1001.t1__Cnig_chr_I.g493.t1,14311.3018704019,2.32854218238836,0.120514608211117,19.3216591494803,3.53116414840201e-83,7.06077271788401e-82,1
I.g1002.t1__Cnig_chr_I.g494.t1,2971.79355052953,1.17844842624361,0.14313903579601,8.2328934220504,1.82744773416599e-16,4.44204851769695e-16,1
I.g1004.t3__Cnig_chr_I.g495.t1,1056.90779175376,0.832580972206146,0.130650306313331,6.37259104628059,1.85861012670062e-10,3.70064250552454e-10,1
I.g1007.t2__Cnig_chr_I.g499.t1,14.7976711295372,-0.986989281362002,0.595956050927236,-1.65614440834415,0.0976925779892533,0.119651001482251,0
I.g1009.t1__Cnig_chr_I.g502.t2,632.625487784833,1.51182075587212,0.153512323357226,9.84820451420104,6.97793532519795e-23,2.04869653564512e-22,1
I.g1011.t2__Cnig_chr_I.g505.t3,1027.86226921879,0.418004088257667,0.154315132198475,2.70876927170075,0.00675332861596881,0.00932657969205348,1
I.g1012.t1__Cnig_chr_I.g506.t1,3391.77155819525,2.28459632247812,0.137715893539153,16.5891987029704,8.34259682908891e-62,8.01701771501085e-61,1
I.g1014.t1__Cnig_chr_I.g512.t1,114.082760928243,1.98658853671824,0.269850396038701,7.36181441969547,1.81427085362871e-13,4.01836795931394e-13,1
I.g1015.t2__Cnig_chr_I.g514.t2,1339.59518076225,-1.90252580637474,0.134596111078488,-14.135072634196,2.30895640329149e-45,1.27809184323659e-44,-1
I.g1016.t1__Cnig_chr_I.g515.t1,2214.90438505424,1.360907440162,0.143053139990488,9.51330002439994,1.84708091304794e-21,5.22795693057031e-21,1
I.g1017.t1__Cnig_chr_I.g516.t1,341.187547247937,2.1187765285533,0.169583679098444,12.4939884534723,8.05138388148376e-36,3.38277365980143e-35,1
I.g1018.t1__Cnig_chr_I.g519.t1,85.7026443441295,-0.286412592015048,0.274106506024591,-1.0448952714364,0.296071375473754,0.336022997151701,0
I.g1019.t2__Cnig_chr_I.g521.t1,260.501109959731,-0.231054530184599,0.212627592172907,-1.08666296703726,0.277185786115739,0.316355615584445,0
I.g1021.t1__Cnig_chr_I.g522.t1,342.729119500628,-2.05598099691259,0.172490233494262,-11.919405262913,9.37755553799802e-33,3.60107653020076e-32,-1
I.g1022.t1__Cnig_chr_I.g523.t1,7676.97114433883,1.69193754896863,0.127336532536724,13.2871338276836,2.74908291961038e-40,1.30660600755094e-39,1
