gene_id	HM2_Cbr	HM2_Cni
I.g1000.t2__Cnig_chr_I.g492.t1	6870	6382
I.g1001.t1__Cnig_chr_I.g493.t1	1442	1251
I.g1002.t1__Cnig_chr_I.g494.t1	654	434
I.g1004.t3__Cnig_chr_I.g495.t1	185	274
I.g1005.t1__Cnig_chr_I.g496.t3	1	0
I.g1007.t2__Cnig_chr_I.g499.t1	25	33
I.g1009.t1__Cnig_chr_I.g502.t2	115	109
I.g1011.t2__Cnig_chr_I.g505.t3	476	501
I.g1012.t1__Cnig_chr_I.g506.t1	881	438
I.g1014.t1__Cnig_chr_I.g512.t1	135	70
I.g1015.t2__Cnig_chr_I.g514.t2	1487	874
I.g1016.t1__Cnig_chr_I.g515.t1	683	357
I.g1017.t1__Cnig_chr_I.g516.t1	322	156
I.g1018.t1__Cnig_chr_I.g519.t1	174	49
I.g1019.t2__Cnig_chr_I.g521.t1	233	65
I.g1021.t1__Cnig_chr_I.g522.t1	327	128
I.g1022.t1__Cnig_chr_I.g523.t1	1722	759
I.g1023.t1__Cnig_chr_I.g524.t2	310	398
I.g1025.t1__Cnig_chr_I.g526.t2	2626	1611
I.g1026.t1__Cnig_chr_I.g528.t2	3750	3475
I.g1030.t2__Cnig_chr_I.g530.t1	473	1070
I.g1032.t1__Cnig_chr_I.g531.t1	659	442
I.g1035.t1__Cnig_chr_I.g533.t2	561	817
I.g1036.t3__Cnig_chr_I.g534.t4	699	674
I.g1037.t1__Cnig_chr_I.g535.t1	243	201
I.g1038.t3__Cnig_chr_I.g536.t1	1039	693
I.g1040.t1__Cnig_chr_I.g542.t1	61	78
I.g1041.t1__Cnig_chr_I.g543.t1	34	30
I.g1042.t3__Cnig_chr_I.g545.t2	76	28
I.g1043.t1__Cnig_chr_I.g546.t3	5	5
I.g1045.t1__Cnig_chr_I.g547.t1	483	817
I.g1046.t1__Cnig_chr_I.g548.t1	260	287
I.g1052.t1__Cnig_chr_I.g554.t1	619	1299
I.g1056.t1__Cnig_chr_I.g580.t3	6	1
I.g1057.t1__Cnig_chr_I.g579.t1	920	850
I.g1059.t1__Cnig_chr_I.g578.t1	375	328
I.g1060.t1__Cnig_chr_I.g577.t3	274	133
I.g1061.t1__Cnig_chr_I.g576.t1	17003	14706
I.g1063.t1__Cnig_chr_I.g575.t1	82	196
I.g1065.t1__Cnig_chr_I.g569.t3	244	387
I.g1066.t1__Cnig_chr_I.g568.t1	320	288
I.g1067.t1__Cnig_chr_I.g567.t1	761	656
I.g1069.t2__Cnig_chr_I.g566.t1	268	563
I.g1070.t1__Cnig_chr_I.g564.t2	193	235
I.g1071.t1__Cnig_chr_I.g563.t1	64	136
I.g1072.t1__Cnig_chr_I.g562.t3	114	404
I.g1075.t1__Cnig_chr_I.g72.t1	25	0
I.g1077.t3__Cnig_chr_I.g70.t2	525	537
I.g1078.t1__Cnig_chr_I.g69.t1	351	498
I.g1079.t1__Cnig_chr_I.g68.t1	156	72
I.g1080.t1__Cnig_chr_I.g67.t1	247	170
I.g1081.t2__Cnig_chr_I.g66.t1	95	50
I.g1082.t1__Cnig_chr_I.g64.t1	53	3
I.g1083.t2__Cnig_chr_I.g63.t1	1533	1563
I.g1084.t2__Cnig_chr_I.g60.t2	1181	1114
I.g1085.t1__Cnig_chr_I.g59.t1	401	297
I.g1086.t1__Cnig_chr_I.g58.t1	4973	2595
I.g1087.t1__Cnig_chr_I.g57.t1	520	219
I.g1088.t1__Cnig_chr_I.g56.t1	184	46
I.g1089.t2__Cnig_chr_I.g55.t2	1081	149
I.g1090.t1__Cnig_chr_I.g54.t1	696	218
I.g1091.t1__Cnig_chr_I.g53.t1	210	67
I.g1092.t1__Cnig_chr_I.g52.t2	511	282
I.g1093.t2__Cnig_chr_I.g51.t2	45	14
I.g1094.t2__Cnig_chr_I.g50.t1	697	385
I.g1095.t1__Cnig_chr_I.g49.t1	589	478
I.g1096.t1__Cnig_chr_I.g48.t2	654	226
I.g1097.t1__Cnig_chr_I.g47.t2	128	37
I.g1099.t2__Cnig_chr_I.g46.t2	255	78
I.g1100.t1__Cnig_chr_I.g45.t1	260	274
I.g1101.t1__Cnig_chr_I.g44.t1	1033	886
I.g1102.t1__Cnig_chr_I.g43.t1	640	349
I.g1103.t1__Cnig_chr_I.g42.t1	586	387
I.g1104.t1__Cnig_chr_I.g41.t3	18	2
I.g1105.t1__Cnig_chr_I.g40.t1	252	244
I.g1109.t1__Cnig_chr_I.g38.t3	19	1
I.g1112.t2__Cnig_chr_I.g35.t2	247	177
I.g1114.t2__Cnig_chr_I.g34.t2	30	25
I.g1115.t3__Cnig_chr_I.g33.t3	1580	520
I.g1116.t1__Cnig_chr_I.g29.t1	644	202
I.g1117.t1__Cnig_chr_I.g28.t1	1715	910
I.g1119.t1__Cnig_chr_I.g26.t1	253	370
I.g1120.t1__Cnig_chr_I.g25.t1	251	207
I.g1121.t1__Cnig_chr_I.g24.t1	31	0
I.g1123.t1__Cnig_chr_I.g22.t2	15	6
I.g1125.t1__Cnig_chr_I.g19.t1	2340	3016
I.g1126.t1__Cnig_chr_I.g18.t1	404	347
I.g1129.t1__Cnig_chr_I.g16.t1	272	485
I.g1130.t2__Cnig_chr_I.g15.t1	1	0
I.g1131.t2__Cnig_chr_I.g9.t1	6	1
I.g1132.t1__Cnig_chr_I.g8.t1	222	241
I.g1133.t3__Cnig_chr_I.g6.t1	4701	1783
I.g1134.t1__Cnig_chr_I.g5.t1	12218	11430
I.g1135.t1__Cnig_chr_I.g4.t1	3445	2403
I.g1141.t1__Cnig_chr_I.g623.t1	358	218
I.g1142.t1__Cnig_chr_I.g624.t1	1863	1730
