gene_id	HM3_Cbr	HM3_Cni
I.g1000.t2__Cnig_chr_I.g492.t1	7484	7613
I.g1001.t1__Cnig_chr_I.g493.t1	1125	1153
I.g1002.t1__Cnig_chr_I.g494.t1	705	465
I.g1004.t3__Cnig_chr_I.g495.t1	164	360
I.g1005.t1__Cnig_chr_I.g496.t3	3	0
I.g1007.t2__Cnig_chr_I.g499.t1	41	26
I.g1009.t1__Cnig_chr_I.g502.t2	102	142
I.g1011.t2__Cnig_chr_I.g505.t3	662	577
I.g1012.t1__Cnig_chr_I.g506.t1	791	432
I.g1014.t1__Cnig_chr_I.g512.t1	172	80
I.g1015.t2__Cnig_chr_I.g514.t2	1589	692
I.g1016.t1__Cnig_chr_I.g515.t1	764	648
I.g1017.t1__Cnig_chr_I.g516.t1	347	242
I.g1018.t1__Cnig_chr_I.g519.t1	267	93
I.g1019.t2__Cnig_chr_I.g521.t1	324	131
I.g1021.t1__Cnig_chr_I.g522.t1	371	152
I.g1022.t1__Cnig_chr_I.g523.t1	3879	817
I.g1023.t1__Cnig_chr_I.g524.t2	661	736
I.g1025.t1__Cnig_chr_I.g526.t2	3871	2004
I.g1026.t1__Cnig_chr_I.g528.t2	4521	4278
I.g1030.t2__Cnig_chr_I.g530.t1	468	1119
I.g1032.t1__Cnig_chr_I.g531.t1	784	456
I.g1035.t1__Cnig_chr_I.g533.t2	1220	2009
I.g1036.t3__Cnig_chr_I.g534.t4	946	912
I.g1037.t1__Cnig_chr_I.g535.t1	368	265
I.g1038.t3__Cnig_chr_I.g536.t1	1333	936
I.g1040.t1__Cnig_chr_I.g542.t1	68	66
I.g1041.t1__Cnig_chr_I.g543.t1	51	25
I.g1042.t3__Cnig_chr_I.g545.t2	90	24
I.g1043.t1__Cnig_chr_I.g546.t3	8	12
I.g1045.t1__Cnig_chr_I.g547.t1	1132	1341
I.g1046.t1__Cnig_chr_I.g548.t1	341	434
I.g1052.t1__Cnig_chr_I.g554.t1	842	1983
I.g1056.t1__Cnig_chr_I.g580.t3	1	6
I.g1057.t1__Cnig_chr_I.g579.t1	1202	1066
I.g1059.t1__Cnig_chr_I.g578.t1	415	426
I.g1060.t1__Cnig_chr_I.g577.t3	282	173
I.g1061.t1__Cnig_chr_I.g576.t1	28326	24430
I.g1063.t1__Cnig_chr_I.g575.t1	78	186
I.g1065.t1__Cnig_chr_I.g569.t3	324	577
I.g1066.t1__Cnig_chr_I.g568.t1	340	392
I.g1067.t1__Cnig_chr_I.g567.t1	922	883
I.g1069.t2__Cnig_chr_I.g566.t1	203	297
I.g1070.t1__Cnig_chr_I.g564.t2	305	335
I.g1071.t1__Cnig_chr_I.g563.t1	87	291
I.g1072.t1__Cnig_chr_I.g562.t3	204	717
I.g1075.t1__Cnig_chr_I.g72.t1	11	3
I.g1077.t3__Cnig_chr_I.g70.t2	1014	1020
I.g1078.t1__Cnig_chr_I.g69.t1	895	1063
I.g1079.t1__Cnig_chr_I.g68.t1	218	91
I.g1080.t1__Cnig_chr_I.g67.t1	307	211
I.g1081.t2__Cnig_chr_I.g66.t1	151	93
I.g1082.t1__Cnig_chr_I.g64.t1	128	8
I.g1083.t2__Cnig_chr_I.g63.t1	2287	2422
I.g1084.t2__Cnig_chr_I.g60.t2	1695	1023
I.g1085.t1__Cnig_chr_I.g59.t1	578	452
I.g1086.t1__Cnig_chr_I.g58.t1	5224	2919
I.g1087.t1__Cnig_chr_I.g57.t1	709	332
I.g1088.t1__Cnig_chr_I.g56.t1	240	75
I.g1089.t2__Cnig_chr_I.g55.t2	1335	127
I.g1090.t1__Cnig_chr_I.g54.t1	717	254
I.g1091.t1__Cnig_chr_I.g53.t1	268	134
I.g1092.t1__Cnig_chr_I.g52.t2	723	420
I.g1093.t2__Cnig_chr_I.g51.t2	61	15
I.g1094.t2__Cnig_chr_I.g50.t1	1294	492
I.g1095.t1__Cnig_chr_I.g49.t1	838	696
I.g1096.t1__Cnig_chr_I.g48.t2	894	409
I.g1097.t1__Cnig_chr_I.g47.t2	124	36
I.g1099.t2__Cnig_chr_I.g46.t2	269	82
I.g1100.t1__Cnig_chr_I.g45.t1	293	300
I.g1101.t1__Cnig_chr_I.g44.t1	1167	1308
I.g1102.t1__Cnig_chr_I.g43.t1	1169	525
I.g1103.t1__Cnig_chr_I.g42.t1	837	542
I.g1104.t1__Cnig_chr_I.g41.t3	48	3
I.g1105.t1__Cnig_chr_I.g40.t1	311	246
I.g1109.t1__Cnig_chr_I.g38.t3	23	12
I.g1112.t2__Cnig_chr_I.g35.t2	470	315
I.g1114.t2__Cnig_chr_I.g34.t2	79	36
I.g1115.t3__Cnig_chr_I.g33.t3	1832	804
I.g1116.t1__Cnig_chr_I.g29.t1	839	467
I.g1117.t1__Cnig_chr_I.g28.t1	2302	1074
I.g1119.t1__Cnig_chr_I.g26.t1	569	737
I.g1120.t1__Cnig_chr_I.g25.t1	514	495
I.g1121.t1__Cnig_chr_I.g24.t1	34	1
I.g1123.t1__Cnig_chr_I.g22.t2	12	14
I.g1125.t1__Cnig_chr_I.g19.t1	3149	4303
I.g1126.t1__Cnig_chr_I.g18.t1	843	769
I.g1129.t1__Cnig_chr_I.g16.t1	451	826
I.g1130.t2__Cnig_chr_I.g15.t1	8	0
I.g1131.t2__Cnig_chr_I.g9.t1	6	2
I.g1132.t1__Cnig_chr_I.g8.t1	609	693
I.g1133.t3__Cnig_chr_I.g6.t1	5317	1786
I.g1134.t1__Cnig_chr_I.g5.t1	26846	24070
I.g1135.t1__Cnig_chr_I.g4.t1	5190	3687
I.g1141.t1__Cnig_chr_I.g623.t1	466	255
I.g1142.t1__Cnig_chr_I.g624.t1	2193	2146
I.g1143.t2__Cnig_chr_I.g625.t1	1492	1902
I.g1144.t2__Cnig_chr_I.g1613.t1	233	841
I.g1147.t1__Cnig_chr_I.g632.t2	649	273
I.g1148.t1__Cnig_chr_I.g633.t1	158	86
I.g1149.t1__Cnig_chr_I.g635.t1	135	56
I.g1150.t1__Cnig_chr_I.g639.t1	12	23
I.g1151.t1__Cnig_chr_I.g640.t1	475	231
I.g1152.t1__Cnig_chr_I.g641.t1	29	12
I.g1154.t1__Cnig_chr_I.g644.t3	1274	1786
I.g1155.t1__Cnig_chr_I.g645.t1	137	147
I.g1156.t1__Cnig_chr_I.g646.t2	182	723
I.g1158.t1__Cnig_chr_I.g647.t1	612	378
I.g1159.t1__Cnig_chr_I.g648.t1	67001	50087
I.g1160.t1__Cnig_chr_I.g649.t1	191	210
I.g1161.t1__Cnig_chr_I.g650.t3	792	456
I.g1162.t2__Cnig_chr_I.g651.t2	11015	1704
I.g1163.t2__Cnig_chr_I.g653.t1	2604	1780
I.g1165.t1__Cnig_chr_I.g655.t1	134	235
