gene_id	HF3_Cbr	HF3_Cni
I.g1000.t2__Cnig_chr_I.g492.t1	14918	20579
I.g1001.t1__Cnig_chr_I.g493.t1	6462	9314
I.g1002.t1__Cnig_chr_I.g494.t1	1966	1010
I.g1004.t3__Cnig_chr_I.g495.t1	167	749
I.g1005.t1__Cnig_chr_I.g496.t3	1	0
I.g1007.t2__Cnig_chr_I.g499.t1	6	3
I.g1009.t1__Cnig_chr_I.g502.t2	347	280
I.g1011.t2__Cnig_chr_I.g505.t3	228	434
I.g1012.t1__Cnig_chr_I.g506.t1	2246	1327
I.g1014.t1__Cnig_chr_I.g512.t1	80	39
I.g1015.t2__Cnig_chr_I.g514.t2	264	115
I.g1016.t1__Cnig_chr_I.g515.t1	1203	943
I.g1017.t1__Cnig_chr_I.g516.t1	214	144
I.g1018.t1__Cnig_chr_I.g519.t1	41	8
I.g1019.t2__Cnig_chr_I.g521.t1	115	31
I.g1021.t1__Cnig_chr_I.g522.t1	66	19
I.g1022.t1__Cnig_chr_I.g523.t1	4454	3610
I.g1023.t1__Cnig_chr_I.g524.t2	155	178
I.g1025.t1__Cnig_chr_I.g526.t2	918	513
I.g1026.t1__Cnig_chr_I.g528.t2	4742	5571
I.g1030.t2__Cnig_chr_I.g530.t1	581	2580
I.g1032.t1__Cnig_chr_I.g531.t1	622	625
I.g1035.t1__Cnig_chr_I.g533.t2	77	107
I.g1036.t3__Cnig_chr_I.g534.t4	657	1166
I.g1037.t1__Cnig_chr_I.g535.t1	195	453
I.g1038.t3__Cnig_chr_I.g536.t1	2050	1133
I.g1040.t1__Cnig_chr_I.g542.t1	760	891
I.g1041.t1__Cnig_chr_I.g543.t1	5	4
I.g1042.t3__Cnig_chr_I.g545.t2	7	0
I.g1043.t1__Cnig_chr_I.g546.t3	0	0
I.g1045.t1__Cnig_chr_I.g547.t1	28	3
I.g1046.t1__Cnig_chr_I.g548.t1	664	628
I.g1052.t1__Cnig_chr_I.g554.t1	229	378
I.g1056.t1__Cnig_chr_I.g580.t3	0	1
I.g1057.t1__Cnig_chr_I.g579.t1	844	1098
I.g1059.t1__Cnig_chr_I.g578.t1	1025	696
I.g1060.t1__Cnig_chr_I.g577.t3	286	219
I.g1061.t1__Cnig_chr_I.g576.t1	3151	1893
I.g1063.t1__Cnig_chr_I.g575.t1	282	547
I.g1065.t1__Cnig_chr_I.g569.t3	764	838
I.g1066.t1__Cnig_chr_I.g568.t1	458	491
I.g1067.t1__Cnig_chr_I.g567.t1	663	788
I.g1069.t2__Cnig_chr_I.g566.t1	2505	9206
I.g1070.t1__Cnig_chr_I.g564.t2	52	103
I.g1071.t1__Cnig_chr_I.g563.t1	24	59
I.g1072.t1__Cnig_chr_I.g562.t3	61	235
I.g1075.t1__Cnig_chr_I.g72.t1	2	0
I.g1077.t3__Cnig_chr_I.g70.t2	7	7
I.g1078.t1__Cnig_chr_I.g69.t1	9	4
I.g1079.t1__Cnig_chr_I.g68.t1	66	36
I.g1080.t1__Cnig_chr_I.g67.t1	91	80
I.g1081.t2__Cnig_chr_I.g66.t1	17	11
I.g1082.t1__Cnig_chr_I.g64.t1	26	1
I.g1083.t2__Cnig_chr_I.g63.t1	2049	3132
I.g1084.t2__Cnig_chr_I.g60.t2	2178	2776
I.g1085.t1__Cnig_chr_I.g59.t1	599	1024
I.g1086.t1__Cnig_chr_I.g58.t1	967	517
I.g1087.t1__Cnig_chr_I.g57.t1	30	8
I.g1088.t1__Cnig_chr_I.g56.t1	70	23
I.g1089.t2__Cnig_chr_I.g55.t2	113	9
I.g1090.t1__Cnig_chr_I.g54.t1	3269	1392
I.g1091.t1__Cnig_chr_I.g53.t1	297	188
I.g1092.t1__Cnig_chr_I.g52.t2	730	506
I.g1093.t2__Cnig_chr_I.g51.t2	8	5
I.g1094.t2__Cnig_chr_I.g50.t1	996	648
I.g1095.t1__Cnig_chr_I.g49.t1	1087	753
I.g1096.t1__Cnig_chr_I.g48.t2	1508	899
I.g1097.t1__Cnig_chr_I.g47.t2	49	30
