"sex","class","type","chromosome","n"
"male","C. nigoni dominant","cis x trans (compensatory)","II",29
"male","C. nigoni dominant","cis x trans (compensatory)","III",20
"male","C. nigoni dominant","cis x trans (compensatory)","IV",33
"male","C. nigoni dominant","cis x trans (compensatory)","V",30
"male","C. nigoni dominant","cis x trans (compensatory)","X",0
"male","C. nigoni dominant","cis-only","I",79
"male","C. nigoni dominant","cis-only","II",61
"male","C. nigoni dominant","cis-only","III",70
"male","C. nigoni dominant","cis-only","IV",85
"male","C. nigoni dominant","cis-only","V",84
"male","C. nigoni dominant","cis-only","X",0
"male","C. nigoni dominant","cis-trans (compensatory)","I",0
"male","C. nigoni dominant","cis-trans (compensatory)","II",0
"male","C. nigoni dominant","cis-trans (compensatory)","III",0
"male","C. nigoni dominant","cis-trans (compensatory)","IV",0
"male","C. nigoni dominant","cis-trans (compensatory)","V",0
"male","C. nigoni dominant","cis-trans (compensatory)","X",0
"male","C. nigoni dominant","trans-only","I",53
"male","C. nigoni dominant","trans-only","II",44
"male","C. nigoni dominant","trans-only","III",38
"male","C. nigoni dominant","trans-only","IV",44
"male","C. nigoni dominant","trans-only","V",73
"male","C. nigoni dominant","trans-only","X",0
"male","overdominant","cis + trans (enhancing)","I",8
"male","overdominant","cis + trans (enhancing)","II",28
"male","overdominant","cis + trans (enhancing)","III",7
"male","overdominant","cis + trans (enhancing)","IV",19
"male","overdominant","cis + trans (enhancing)","V",46
"male","overdominant","cis + trans (enhancing)","X",0
"male","overdominant","cis x trans (compensatory)","I",8
"male","overdominant","cis x trans (compensatory)","II",24
"male","overdominant","cis x trans (compensatory)","III",20
"male","overdominant","cis x trans (compensatory)","IV",31
"male","overdominant","cis x trans (compensatory)","V",48
"male","overdominant","cis x trans (compensatory)","X",0
"male","overdominant","cis-only","I",15
"male","overdominant","cis-only","II",25
"male","overdominant","cis-only","III",23
"male","overdominant","cis-only","IV",32
"male","overdominant","cis-only","V",69
"male","overdominant","cis-only","X",0
"male","overdominant","cis-trans (compensatory)","I",33
"male","overdominant","cis-trans (compensatory)","II",53
"male","overdominant","cis-trans (compensatory)","III",33
"male","overdominant","cis-trans (compensatory)","IV",53
"male","overdominant","cis-trans (compensatory)","V",84
"male","overdominant","cis-trans (compensatory)","X",0
"male","overdominant","trans-only","I",16
"male","overdominant","trans-only","II",22
"male","overdominant","trans-only","III",15
"male","overdominant","trans-only","IV",17
"male","overdominant","trans-only","V",39
"male","overdominant","trans-only","X",0
"male","underdominant","cis + trans (enhancing)","I",6
"male","underdominant","cis + trans (enhancing)","II",9
"male","underdominant","cis + trans (enhancing)","III",3
"male","underdominant","cis + trans (enhancing)","IV",7
"male","underdominant","cis + trans (enhancing)","V",11
"male","underdominant","cis + trans (enhancing)","X",0
"male","underdominant","cis x trans (compensatory)","I",21
"male","underdominant","cis x trans (compensatory)","II",48
"male","underdominant","cis x trans (compensatory)","III",19
"male","underdominant","cis x trans (compensatory)","IV",18
"male","underdominant","cis x trans (compensatory)","V",14
"male","underdominant","cis x trans (compensatory)","X",0
"male","underdominant","cis-only","I",11
"male","underdominant","cis-only","II",16
"male","underdominant","cis-only","III",13
"male","underdominant","cis-only","IV",20
"male","underdominant","cis-only","V",21
"male","underdominant","cis-only","X",0
"male","underdominant","cis-trans (compensatory)","I",33
"male","underdominant","cis-trans (compensatory)","II",30
"male","underdominant","cis-trans (compensatory)","III",28
"male","underdominant","cis-trans (compensatory)","IV",28
"male","underdominant","cis-trans (compensatory)","V",32
"male","underdominant","cis-trans (compensatory)","X",0
"male","underdominant","trans-only","I",23
"male","underdominant","trans-only","II",49
"male","underdominant","trans-only","III",30
"male","underdominant","trans-only","IV",46
"male","underdominant","trans-only","V",61
"male","underdominant","trans-only","X",0
