,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
I.g1000.t2__Cnig_chr_I.g492.t1,9619.48060119632,-1.07846227833243,0.31903632733131,-3.38037454027133,0.000723871139849145,0.00189094579009204
I.g1001.t1__Cnig_chr_I.g493.t1,3261.73039523834,-1.54728491529419,0.32360715513079,-4.78136805927185,1.74106258256333e-06,8.0414288857683e-06
I.g1002.t1__Cnig_chr_I.g494.t1,915.85629043437,-0.405409109507933,0.326536770014865,-1.24154198465759,0.214405598391074,0.285242225504659
I.g1004.t3__Cnig_chr_I.g495.t1,216.21585833498,-1.04115761387857,0.265406345987615,-3.92288138403124,8.74962340925074e-05,0.000283666268154354
I.g1007.t2__Cnig_chr_I.g499.t1,29.9273448933313,-0.286261891755137,0.455519882633644,-0.62842897240858,0.529722962507748,0.60823370851958
I.g1009.t1__Cnig_chr_I.g502.t2,336.039189521957,-1.39971870375539,0.299603074473357,-4.67191034743491,2.98411214682943e-06,1.31460138882122e-05
I.g1011.t2__Cnig_chr_I.g505.t3,428.642679300624,0.329557419644912,0.226196398973607,1.45695254716838,0.145129479468336,0.20385265127686
I.g1012.t1__Cnig_chr_I.g506.t1,1313.14447394161,-1.27040270495219,0.443836115087004,-2.86232386632881,0.00420546933162151,0.00913546129111621
I.g1014.t1__Cnig_chr_I.g512.t1,378.988559360195,-1.5774867800302,0.330069968838146,-4.7792496408655,1.75950616944804e-06,8.11830751164065e-06
I.g1015.t2__Cnig_chr_I.g514.t2,787.400046758658,0.896146548310477,0.382158330284127,2.34496143952746,0.0190290475032257,0.0347246141070857
I.g1016.t1__Cnig_chr_I.g515.t1,847.618759685409,-0.594202029503933,0.378649449312437,-1.56926685244862,0.116585772615123,0.168838042215164
I.g1017.t1__Cnig_chr_I.g516.t1,161.070356835331,-0.176054712751149,0.25525659179923,-0.689716616171165,0.490372414464222,0.572118479442323
