,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HF1F
I.g1000.t2__Cnig_chr_I.g492.t1,35686.4823901433,1.5780291882793,0.115952316507286,13.6092941979312,3.52632809598398e-42,1.77358540919179e-41,1
I.g1001.t1__Cnig_chr_I.g493.t1,14312.7556453468,2.32978869911672,0.120914325015538,19.2680949822722,9.95328843037049e-83,1.97542306092557e-81,1
I.g1002.t1__Cnig_chr_I.g494.t1,2971.75573088813,1.17972073070897,0.143395303285226,8.22705279518395,1.91875902358601e-16,4.67082140284704e-16,1
I.g1004.t3__Cnig_chr_I.g495.t1,1056.83760802126,0.833847074850509,0.131093779685814,6.36069138329027,2.00847630031797e-10,3.99669757802238e-10,1
I.g1007.t2__Cnig_chr_I.g499.t1,14.7928149126886,-0.985568102374728,0.59701790474304,-1.65081833316025,0.0987756754753643,0.120927148781322,0
I.g1009.t1__Cnig_chr_I.g502.t2,632.639424416418,1.51306850624875,0.15389056932101,9.83210675562935,8.18875017740425e-23,2.40383427480291e-22,1
I.g1011.t2__Cnig_chr_I.g505.t3,1027.71027844855,0.419255421564532,0.154398928259603,2.71540370318896,0.00661950240773732,0.00915341512099773,1
I.g1012.t1__Cnig_chr_I.g506.t1,3392.09203880854,2.28582497522434,0.137997470831443,16.5642526739955,1.26340069394054e-61,1.21391675709248e-60,1
I.g1014.t1__Cnig_chr_I.g512.t1,114.090938893417,1.98781390262313,0.270160709489094,7.35789414523793,1.8683410447772e-13,4.13953837667072e-13,1
I.g1015.t2__Cnig_chr_I.g514.t2,1338.97383671712,-1.90123955402935,0.134853327758484,-14.0985735067242,3.87523986270726e-45,2.13608869355301e-44,-1
I.g1016.t1__Cnig_chr_I.g515.t1,2214.90704979867,1.36217344458974,0.143273714462003,9.50749025880108,1.95317791050884e-21,5.52744070912032e-21,1
I.g1017.t1__Cnig_chr_I.g516.t1,341.212211747857,2.12006940738908,0.169928208462974,12.4762652802936,1.00595450575326e-35,4.22587799933066e-35,1
I.g1018.t1__Cnig_chr_I.g519.t1,85.6800803819719,-0.285118033821705,0.274495726703641,-1.03869753181816,0.29894542942767,0.339008997306157,0
