"logFC","DE","species","sex","p.value","genes","chromosome","species_DE"
0.173707313580934,"no sig","briggsae","male",0.308065977151259,"I.g1000.t2__Cnig_chr_I.g492.t1","I","briggsae no sig"
0.113209176732571,"no sig","briggsae","male",0.756497015434481,"I.g1001.t1__Cnig_chr_I.g493.t1","I","briggsae no sig"
-0.453512754979427,"no sig","nigoni","male",0.058491861812151,"I.g1002.t1__Cnig_chr_I.g494.t1","I","nigoni no sig"
1.16909596480401,"sig","briggsae","male",7.09824198239347e-07,"I.g1004.t3__Cnig_chr_I.g495.t1","I","briggsae sig"
-0.0757600223275935,"no sig","nigoni","male",0.873195267216677,"I.g1007.t2__Cnig_chr_I.g499.t1","I","nigoni no sig"
0.502970852075474,"sig","briggsae","male",0.0489204104331307,"I.g1009.t1__Cnig_chr_I.g502.t2","I","briggsae sig"
0.085887597422658,"no sig","briggsae","male",0.6300199988919,"I.g1011.t2__Cnig_chr_I.g505.t3","I","briggsae no sig"
-0.677558527197877,"sig","nigoni","male",0.0118534718038049,"I.g1012.t1__Cnig_chr_I.g506.t1","I","nigoni sig"
-0.904371295522159,"sig","nigoni","male",3.51077095587141e-05,"I.g1014.t1__Cnig_chr_I.g512.t1","I","nigoni sig"
-0.79161004695874,"sig","nigoni","male",0.00803877929094769,"I.g1015.t2__Cnig_chr_I.g514.t2","I","nigoni sig"
-0.231939356768114,"no sig","nigoni","male",0.29110713697532,"I.g1016.t1__Cnig_chr_I.g515.t1","I","nigoni no sig"
-0.51247187353463,"sig","nigoni","male",0.00407260311281231,"I.g1017.t1__Cnig_chr_I.g516.t1","I","nigoni sig"
-1.43150015725552,"sig","nigoni","male",1.17083022999172e-11,"I.g1018.t1__Cnig_chr_I.g519.t1","I","nigoni sig"
-1.27573478404195,"sig","nigoni","male",5.23684253207319e-10,"I.g1019.t2__Cnig_chr_I.g521.t1","I","nigoni sig"
-1.10251313423903,"sig","nigoni","male",5.44058422827143e-10,"I.g1021.t1__Cnig_chr_I.g522.t1","I","nigoni sig"
-1.70140288312618,"sig","nigoni","male",2.27816440623452e-10,"I.g1022.t1__Cnig_chr_I.g523.t1","I","nigoni sig"
0.358389761715201,"no sig","briggsae","male",0.230760583405377,"I.g1023.t1__Cnig_chr_I.g524.t2","I","briggsae no sig"
-0.659400793456659,"sig","nigoni","male",2.50329663083293e-07,"I.g1025.t1__Cnig_chr_I.g526.t2","I","nigoni sig"
0.0967207500388907,"no sig","briggsae","male",0.475870878492151,"I.g1026.t1__Cnig_chr_I.g528.t2","I","briggsae no sig"
1.42694894165635,"sig","briggsae","male",5.18755053625759e-11,"I.g1030.t2__Cnig_chr_I.g530.t1","I","briggsae sig"
-0.437134855099877,"sig","nigoni","male",0.0387866281945684,"I.g1032.t1__Cnig_chr_I.g531.t1","I","nigoni sig"
0.918865253195558,"sig","briggsae","male",0.00437318513005187,"I.g1035.t1__Cnig_chr_I.g533.t2","I","briggsae sig"
0.165012599405145,"no sig","briggsae","male",0.140793305626906,"I.g1036.t3__Cnig_chr_I.g534.t4","I","briggsae no sig"
-0.120479227540589,"no sig","nigoni","male",0.493433004985429,"I.g1037.t1__Cnig_chr_I.g535.t1","I","nigoni no sig"
-0.343486026003027,"sig","nigoni","male",0.000772739515543357,"I.g1038.t3__Cnig_chr_I.g536.t1","I","nigoni sig"
0.388170766893079,"no sig","briggsae","male",0.224641911709636,"I.g1040.t1__Cnig_chr_I.g542.t1","I","briggsae no sig"
-0.396555415062916,"no sig","nigoni","male",0.311589568278702,"I.g1041.t1__Cnig_chr_I.g543.t1","I","nigoni no sig"
-1.46561700096562,"sig","nigoni","male",2.64722479498757e-06,"I.g1042.t3__Cnig_chr_I.g545.t2","I","nigoni sig"
0.641205079224996,"no sig","briggsae","male",0.373153942652939,"I.g1043.t1__Cnig_chr_I.g546.t3","I","briggsae no sig"
0.606168875132867,"sig","briggsae","male",0.0338129271574974,"I.g1045.t1__Cnig_chr_I.g547.t1","I","briggsae sig"
0.375060223885597,"sig","briggsae","male",0.0167749832801394,"I.g1046.t1__Cnig_chr_I.g548.t1","I","briggsae sig"
1.38811450030873,"sig","briggsae","male",1.24785434732015e-36,"I.g1052.t1__Cnig_chr_I.g554.t1","I","briggsae sig"
0.28918518626101,"no sig","briggsae","male",0.865505214881333,"I.g1056.t1__Cnig_chr_I.g580.t3","I","briggsae no sig"
0.0879850333082114,"no sig","briggsae","male",0.517036322391201,"I.g1057.t1__Cnig_chr_I.g579.t1","I","briggsae no sig"
0.127964110187529,"no sig","briggsae","male",0.447659288353142,"I.g1059.t1__Cnig_chr_I.g578.t1","I","briggsae no sig"
-0.613812481848928,"sig","nigoni","male",0.0012513713370451,"I.g1060.t1__Cnig_chr_I.g577.t3","I","nigoni sig"
0.0198086387794909,"no sig","briggsae","male",0.935840164714843,"I.g1061.t1__Cnig_chr_I.g576.t1","I","briggsae no sig"
1.51974636259008,"sig","briggsae","male",2.10988532699576e-07,"I.g1063.t1__Cnig_chr_I.g575.t1","I","briggsae sig"
0.908058445779205,"sig","briggsae","male",4.61838059373873e-07,"I.g1065.t1__Cnig_chr_I.g569.t3","I","briggsae sig"
0.35844003730019,"no sig","briggsae","male",0.0573154381683952,"I.g1066.t1__Cnig_chr_I.g568.t1","I","briggsae no sig"
0.146526346935434,"no sig","briggsae","male",0.367768858725247,"I.g1067.t1__Cnig_chr_I.g567.t1","I","briggsae no sig"
0.937514266648188,"no sig","briggsae","male",0.0657544046467619,"I.g1069.t2__Cnig_chr_I.g566.t1","I","briggsae no sig"
0.446784041141735,"sig","briggsae","male",0.0059776785000752,"I.g1070.t1__Cnig_chr_I.g564.t2","I","briggsae sig"
1.71322409164176,"sig","briggsae","male",1.02347622704483e-11,"I.g1071.t1__Cnig_chr_I.g563.t1","I","briggsae sig"
2.05292791505479,"sig","briggsae","male",6.58146820057217e-24,"I.g1072.t1__Cnig_chr_I.g562.t3","I","briggsae sig"
-3.77503763978484,"sig","nigoni","male",0.000488047463218808,"I.g1075.t1__Cnig_chr_I.g72.t1","I","nigoni sig"
0.222553709414045,"no sig","briggsae","male",0.448173919177557,"I.g1077.t3__Cnig_chr_I.g70.t2","I","briggsae no sig"
0.477640537140236,"no sig","briggsae","male",0.19830868860637,"I.g1078.t1__Cnig_chr_I.g69.t1","I","briggsae no sig"
-1.1304678088233,"sig","nigoni","male",3.70060190132387e-08,"I.g1079.t1__Cnig_chr_I.g68.t1","I","nigoni sig"
-0.313971254965373,"no sig","nigoni","male",0.0604683437778515,"I.g1080.t1__Cnig_chr_I.g67.t1","I","nigoni no sig"
-0.594066203800399,"sig","nigoni","male",0.0233261524948937,"I.g1081.t2__Cnig_chr_I.g66.t1","I","nigoni sig"
-3.95594350609603,"sig","nigoni","male",6.48246467076031e-15,"I.g1082.t1__Cnig_chr_I.g64.t1","I","nigoni sig"
0.318875680794568,"sig","briggsae","male",0.0206866927736791,"I.g1083.t2__Cnig_chr_I.g63.t1","I","briggsae sig"
-0.248923137403325,"no sig","nigoni","male",0.308191505171941,"I.g1084.t2__Cnig_chr_I.g60.t2","I","nigoni no sig"
-0.0934555546469314,"no sig","nigoni","male",0.588567009711453,"I.g1085.t1__Cnig_chr_I.g59.t1","I","nigoni no sig"
-0.669000880293523,"sig","nigoni","male",0.000157374746029833,"I.g1086.t1__Cnig_chr_I.g58.t1","I","nigoni sig"
-0.933807195850505,"sig","nigoni","male",2.63187659795082e-12,"I.g1087.t1__Cnig_chr_I.g57.t1","I","nigoni sig"
-1.6145854381423,"sig","nigoni","male",3.21832902499149e-16,"I.g1088.t1__Cnig_chr_I.g56.t1","I","nigoni sig"
-2.99826902777779,"sig","nigoni","male",3.12871498888803e-32,"I.g1089.t2__Cnig_chr_I.g55.t2","I","nigoni sig"
-1.34396497015692,"sig","nigoni","male",7.31829854466168e-13,"I.g1090.t1__Cnig_chr_I.g54.t1","I","nigoni sig"
-1.03725589370667,"sig","nigoni","male",4.87359416467816e-07,"I.g1091.t1__Cnig_chr_I.g53.t1","I","nigoni sig"
-0.569185602128261,"sig","nigoni","male",7.86089120298274e-06,"I.g1092.t1__Cnig_chr_I.g52.t2","I","nigoni sig"
-1.73426733937629,"sig","nigoni","male",7.99873418714887e-06,"I.g1093.t2__Cnig_chr_I.g51.t2","I","nigoni sig"
-0.986660643627356,"sig","nigoni","male",2.23945217229859e-07,"I.g1094.t2__Cnig_chr_I.g50.t1","I","nigoni sig"
